"No.","Date","Genre","Bibl","URL","ContextBefore","Hit","ContextAfter"
"16","2020-12-02","internetbasiert","Coronakrise: Große Mehrheit befürwortet Arbeiten im Homeoffice. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/coronakrise-grosse-mehrheit-befuerwortet-arbeiten-im-homeoffice/25659680.html","So befürwortet eine große Mehrheit von mehr als 85 Prozent der Befragten die Möglichkeit , von","zuhause","aus zu arbeiten , falls ihre Tätigkeit dies zulässt ."
"17","2020-12-02","internetbasiert","Coronakrise: Buchhändler kämpfen ums Überleben – mit telefonischer Beratung und Lieferservice. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/handel-konsumgueter/coronakrise-buchhaendler-kaempfen-ums-ueberleben-mit-telefonischer-beratung-und-lieferservice/25679676.html","Wenngleich Hugendubel durchaus kreativ ist in diesen Tagen : „ Wir sind auf viele Autoren zugegangen , um ihre Lesungen von","zuhause","aus live über Instagram zu veranstalten . “"
"18","2020-12-02","internetbasiert","Chemiekonzern: Corona-Krise kostet Covestro 60 Millionen Euro Gewinn. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/industrie/chemiekonzern-corona-krise-kostet-covestro-60-millionen-euro-gewinn/25561874.html","Doch es fehlten beispielsweise Lkw-Fahrer zum Abtransport der Kunststoffe , ebenso kamen Handwerker und Dienstleister nicht in die Anlagen , weil sie","zuhause","bleiben mussten ."
"19","2020-12-02","internetbasiert","Corona: Sieben Chancen für Händler in der Krise. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/handel-konsumgueter/corona-sieben-chancen-fuer-haendler-in-der-krise/25727332.html","„ Wir sind auf viele Autoren zugegangen , um ihre Lesungen von","zuhause","aus live über Instagram zu veranstalten “ , sagt Eigentümerin Nina Hugendubel ."
"20","2020-12-02","internetbasiert","Coronavirus: Wie ein Krankenversicherer Webasto beim Kampf gegen das Virus half. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/finanzen/banken-versicherungen/coronavirus-wie-ein-krankenversicherer-webasto-beim-kampf-gegen-das-virus-half/25616786.html","Nicht nur für die Firma war der Ausbruch der Krankheit ein Schock , auch für die Mitarbeiter , die nun","zuhause","koordiniert und informiert werden mussten ."
"21","2020-12-02","internetbasiert","Lungenkrankheit: Wie das Coronavirus China und der Wirtschaft weltweit schadet. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/lungenkrankheit-wie-das-coronavirus-china-und-der-wirtschaft-weltweit-schadet/25481868.html","Durch Sars brach der Einzelhandel ein , Touristen blieben","zuhause",", die Hongkonger Wirtschaft rutschte sogar in die Rezession ."
"22","2020-12-02","internetbasiert","Coronakrise: So laden geschlossene Museen zu virtuellen Rundgängen ein. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/arts_und_style/lifestyle/coronakrise-so-laden-geschlossene-museen-zu-virtuellen-rundgaengen-ein/25665900.html","Doch schon lange nutzen die großen Hallen , Sammlungen und Galerien die Möglichkeiten der Digitalisierung , um Besuchern auch von","zuhause","aus einen Kunstgenuss zu bescheren ."
"23","2020-12-02","internetbasiert","Online-Tagebuch Teil 4: Wir sind Corona. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/management/online-tagebuch-teil-4-wir-sind-corona/25647844.html","Es häufen sich die Nachrichten , von Bekannten und Freunden , die sich das Virus im Skiurlaub oder auf Geschäftsreisen schon eingefangen haben und krank","zuhause","liegen oder die befürchten müssen , das Virus zu haben , weil sie Kontakt zu einem Infizierten hatten und nun in Quarantäne ausharren wollen oder sollen ."
"24","2020-12-02","internetbasiert","Getränkeindustrie: Corona-Brauer AB Inbev erwartet Gewinneinbruch wegen des Coronavirus. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/handel-konsumgueter/getraenkeindustrie-corona-brauer-ab-inbev-erwartet-gewinneinbruch-wegen-des-coronavirus/25588876.html","Die China-Geschäfte der weltgrößten Brauerei sind zuletzt deutlich zurückgegangen , weil viele Chinesen","zuhause","bleiben anstatt Bars und Restaurants zu besuchen ."
"25","2020-12-02","internetbasiert","JAB-Holding-Chairman im Interview: Familie Reimann will Kaffeegeschäft trotz Corona 2020 an die Börse bringen. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/handel-konsumgueter/jab-holding-chairman-im-interview-familie-reimann-will-kaffeegeschaeft-trotz-corona-2020-an-die-boerse-bringen/25656832.html","Wegen Corona säßen die Leute nun","zuhause",", langweilten sich und tränken Kaffee , so Harf ."
"26","2020-12-01","internetbasiert","Coronavirus: Norditaliens Wirtschaft im Ausnahmezustand – „Maßnahmen sind radikal, aber richtig"". Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/international/coronavirus-norditaliens-wirtschaft-im-ausnahmezustand-massnahmen-sind-radikal-aber-richtig/25625246.html","„ Auch die letzten Mitarbeiter in den Büros sind","zuhause",", aber das geht ja glücklicherweise problemlos . “"
"27","2020-12-01","internetbasiert","Covid-19-Pandemie: Japans Corona-Strategie geht nicht auf – Tokios Bevölkerung geht in Isolation. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/international/covid-19-pandemie-japans-corona-strategie-geht-nicht-auf-tokios-bevoelkerung-geht-in-isolation/25767348.html","Die Menschen sollten zwar möglichst","zuhause","bleiben , viele Geschäfte wurden geschlossen ."
